created_at,screen_name,text,display_text_width,hashtags
2021-02-02T11:50:44Z,m_cadek,"#100DaysOfWriting (Day 100). I simply enjoy that I managed to complete and send full draft. There is still a lot of editing to do in the future, howerver, now the project is in a stage where I am confident I will submit by April 2021. Thanks if you followed this thread! Fin. #PhD https://t.co/SqntGDOOe3",280,100DaysOfWriting
2021-01-31T23:14:55Z,m_cadek,#100DaysOfWriting (Day 99) Draft submitted to the supervisors for the review. Backup done. I will take a break from all this for at least a week and give head start to my supervisors to review the draft. Then I will start resolving some of the smaller issues. Last day tomorrow. https://t.co/m00ZfKgSnW,278,100DaysOfWriting
2021-01-30T23:14:48Z,m_cadek,"#100DaysOfWriting (Day 98) Voila. Eight hours later and I finalised the introduction section. Intense Saturday. Tomorrow will be in the theme of reviewing the full draft I have put together before sharing it with my supervisors. In other words, lot of editing, moving, removing. https://t.co/R26YiflIxL",278,100DaysOfWriting
2021-01-29T19:31:47Z,m_cadek,"#100DaysOfWriting (Day 97) Taking a break after intense week of writing! However, the weekend will be busy with preparing it for submission to supervisors.",155,100DaysOfWriting
2021-01-28T23:41:41Z,m_cadek,#100DaysOfWriting (Day 96) Nearly there. Tired but trying my best to make it by 31.1. I'll take it easier tomorrow but will spend the weekend on it to finish the draft. There will still be a lot of work and feedback even after 31.1 but sharing full draft will be a big milestone. https://t.co/f9cSwT7p4C,279,100DaysOfWriting
2021-01-28T23:41:40Z,m_cadek,"#100DaysOfWriting (Day 92 - 95) So busy that I didn't even though of putting the progress here. Day - job, night writing thesis, everyday. Not easy to do. Also, starting to have a FOMO feeling – while life happens, I’m in front of a screen, same thing everyday.",261,100DaysOfWriting
2021-01-23T23:28:36Z,m_cadek,"#100DaysOfWriting (Day 91) ...I also feel I have better grasp of focusing on getting it done rather than trying to make it perfect. Unfortunately, the start of today was not smooth as I encountered troublesome issue in Word. I have backups on OneDrive so I had to revert to that. https://t.co/p3gDuXvSMd",279,100DaysOfWriting
2021-01-23T23:28:35Z,m_cadek,"#100DaysOfWriting (Day 90) ...but on Friday I did wish I could start early sometimes. I was really tired, so I had to call it a night at some point and just chill. That said, the reviewing is now easier as I found some way of feeling less possessive about the whole project...",276,100DaysOfWriting
2021-01-23T23:28:34Z,m_cadek,"#100DaysOfWriting (Day 89) Thursday session was quite productive, but I ended up writing until late night / morning. I am quite a night owl, so I struggle to see how people wake up early and work from 6 AM or such...",216,100DaysOfWriting
2021-01-20T23:46:55Z,m_cadek,#100DaysOfWriting (Day 88) Polished the introduction to the result chapter. That was crucial. Now I need to remove the content that doesn't fit there and tighten it. Still a lot to do. This will be tough week as I'll be on this every evening. Progression meeting tomorrow.,272,100DaysOfWriting
2021-01-20T23:46:55Z,m_cadek,"#100DaysOfWriting (Day 87) Fairly short session just trying to amend introduction to the result chapter. Preparing for supervisory meeting, preparing some other documents.",171,100DaysOfWriting
2021-01-18T23:59:44Z,m_cadek,"#100DaysOfWriting (Day 86) Tonight it was extremely difficult to focus as my mind was preocupied with, well. Live. So, even when you pressure yourself, there are times when you just can't do it. Tomorrow is another day. Good luck to everyone else with their writing!",266,100DaysOfWriting
2021-01-17T23:42:25Z,m_cadek,#100DaysOfWriting (Day 85) Editing editing editing. Phew.,57,100DaysOfWriting
2021-01-13T01:07:38Z,m_cadek,"#100DaysOfWriting (Day 84) Provided summary to the section reviewed yesterday. Unfortunatelly, until late at night. Not ideal but glad its done. I have to now go to the result section and move a lot of content to supplementary materials, then chain it and write summary 😨 https://t.co/nV1k9st9kS",271,100DaysOfWriting
2021-01-11T23:37:23Z,m_cadek,"#100DaysOfWriting (Day 83) Roughly a week to review the first section of my thesis. That's quite good time given the circumstances (having full-time job, dyslexic etc.) but I still hope to get better at not getting caught in details. Now to summary and then to the next section!",278,100DaysOfWriting
2021-01-08T00:28:05Z,m_cadek,#100DaysOfWriting (Day 82) Managed to review more pages. It is certainly faster process than writing them but at the same time it is still quite challenging at times. I always need to consider if that piece fits in or not and be rough with my own work.,252,100DaysOfWriting
2021-01-05T23:43:54Z,m_cadek,"#100DaysOfWriting (Day 81) Progressing on editing but I think it is going a little bit slow. Need to probably be a little bit more cruel otherwise it'll take ages. One thing I constantly need to do while both reading or editing is to first focus on big picture, then zoom-in.",275,100DaysOfWriting
2021-01-05T23:43:54Z,m_cadek,"#100DaysOfWriting (Day 80) After the break, I was worried I will be out of touch with the thesis and struggling to find a rhytm but it was not bad. I felt like the editing is going well! Now reviewing the whole thesis and back on lit review.",241,100DaysOfWriting
2020-12-16T00:19:47Z,m_cadek,"#100DaysOfWriting (Day 79)
Improved the structure, addressed style issues. Been struggling with how to approach the editing process. I've found this to be one of the more helpful resources for people with visual stress and specific learning needs (#SLD).
https://t.co/VXGyXWFkEv",278,100DaysOfWriting
2020-12-14T23:44:04Z,m_cadek,"#100DaysOfWriting (Day 78)
After compiling all I have got to a single document I have a word of advice. At some point you have to read it after yourself. I got 418 pages and 163271 words (inclusive of references and such). Not exactly Das Kapital but nor a toilet reading. https://t.co/6p4gT1VK68",272,100DaysOfWriting
2020-12-10T23:20:52Z,m_cadek,"#100DaysOfWriting (Day 77)
Little bit struggling to get motivation back today. Its going to be a late session but hopefully I can at least grammar check all chapters and then finish with a single big file of all chapters. https://t.co/x0Z5XUoffm",221,100DaysOfWriting
2020-12-10T23:20:50Z,m_cadek,"#100DaysOfWriting (Day 76)
Did a little bit more and started structuring the full draft. Different approaches are out there, hardly a one size-fits all case. 🤔 https://t.co/1AbQ5RA9l2",159,100DaysOfWriting
2020-12-10T23:20:47Z,m_cadek,"#100DaysOfWriting (Day 75) 
Brief session on Monday. Had barely any time to write as other commitments meant I ended up working late. On Days like this you do only what you can.",177,100DaysOfWriting
2020-12-03T23:35:48Z,m_cadek,"#100DaysOfWriting (Day 74) 
Literature review ✅
Methods ✅
Results ✅
today at last, Discussion ☑️

Time to review Discussion, pick the pieces of Introduction scattered across various folders and put the damn thing together. Let Word, Grammarly, and Zotero crash. Curse #phdlife",276,100DaysOfWriting
2020-12-03T00:02:33Z,m_cadek,"#100DaysOfWriting (Day 73) I was supposed to take it easy. Planned to watch Star Trek but still wanted to do some light editing. Somehow, I got carried away and managed to get the discussion to a point where only the last section remains. Now I want my Star Trek! Where's Spock?! https://t.co/DAVqikx7JQ",279,100DaysOfWriting
2020-12-02T00:55:05Z,m_cadek,#100DaysOfWriting (Day 72) I am getting delay as I hoped to have the discussion done by today. The only thing I can celebrate is that I feel I know a little better how to approach the overall findings section.,209,100DaysOfWriting
2020-12-01T00:13:20Z,m_cadek,"#100DaysOfWriting (Day 71) Productively tackling difficult part of the discussion where I need to paint the whole picture and tell what it all means. Its complicated, no one ever does it in articles, its always implied, so every time I start a sentence it is like a blank canvas.",279,100DaysOfWriting
2020-12-01T00:13:20Z,m_cadek,"#100DaysOfWriting (Day 70) Manage to complete the discussion to the point where only future research and the whole picture of findings need to be discussed. The latter is heavy one. I will try to do my best to tackle it on Monday, who knows, maybe even finish it?",263,100DaysOfWriting
2020-12-01T00:13:20Z,m_cadek,#100DaysOfWriting (Day 69) I managed to write fairly good amount of words on Saturday and progressed significantly with the discussion. Nearly there!,149,100DaysOfWriting
2020-11-27T19:40:17Z,m_cadek,#100DaysOfWriting (Day 68) End of week short session. I have moved to another section and I am hoping to really do some heavy lifting of this over the weekend as I'll have time and space to focus on this. Today was shorter but still 200 words done.,248,100DaysOfWriting
2020-11-27T19:40:16Z,m_cadek,#100DaysOfWriting (Day 67) Today I continued with editing as it wasn't my writing day. I have went little bit more radical and removed some sections where I could not clearly identify their purpose - use it or lose it.,218,100DaysOfWriting
2020-11-27T19:40:16Z,m_cadek,#100DaysOfWriting (Day 66) Much less productive day. Felt fairly overwhelmed at work so I kept it short and mostly focused on editing.,134,100DaysOfWriting
2020-11-23T23:05:20Z,m_cadek,#100DaysOfWriting (Day 65) Had a crisis and felt overwhelmed with the tasks ahead. Discussing with someone else helped to step back. Then removing some tasks. Then drinking water was also simple and effective way to keep my mind focused (stay hydrated). I managed to write more! https://t.co/XifMbLLf6P,278,100DaysOfWriting
2020-11-20T00:52:47Z,m_cadek,"#100DaysOfWriting (Day 65) Productive session (but late into night). Having breaks throughout day helped, so did focusing on intention and outcome - I've finished the implication sections! The 2021/22 will be an interesting one for the NCMP, but I won't have much to say probably. https://t.co/5rXBQgk9nT",280,100DaysOfWriting
2020-11-19T00:50:16Z,m_cadek,"#100DaysOfWriting (Day 64) The last section in impliactions  is about COVID-19 and the impact on the NCMP. Not really my topic so that's going to be an interesting one...then again, all of my PhD was not ""my topic"" three years ago.",231,100DaysOfWriting
2020-11-19T00:50:15Z,m_cadek,#100DaysOfWriting (Day 63) Nearly finished with the implication section. Wrote 300 + words and hopefully getting closer.,120,100DaysOfWriting
2020-11-16T23:45:07Z,m_cadek,#100DaysOfWriting (Day 62) I've noticed I now sometimes enjoy the moment I open my thesis and think of what is needed to write. Moved from days when I had full day of writing ahead to days where I have to squeeze it into an evening. In a way having a full day may feel daunting.,278,100DaysOfWriting
2020-11-11T23:45:48Z,m_cadek,"#100DaysOfWriting (Day 61) Short n' productive session to keep things going. I've been doing ""long shift days"" and ""short shift days"" for a while. Works well, unless other unexpected tasks suddenly turn up. Could I happen to become better at self-management?! https://t.co/xGRBXDWpfb",259,100DaysOfWriting
2020-11-10T22:57:32Z,m_cadek,"#100DaysOfWriting (Day 60) Discussion moving on. I am still surprised how useful resource is the https://t.co/iBm5MZOxnP. It helps to move around a little from your ""favourite phrases"" and consider alternative ones. I wonder what else is out there?",248,100DaysOfWriting
2020-11-09T23:41:58Z,m_cadek,"#100DaysOfWriting (Day 59) Monday writing session, little tired but managed to finish another section. I felt that words were getting stuck in space and I couldn't express myself. That's what's like to write when you are tired. Curious, what music do you write with? https://t.co/kKgCCEPyMN",266,100DaysOfWriting
2020-11-09T23:41:56Z,m_cadek,"#100DaysOfWriting (Day 58) Sunday writing session, this time I am focusing to write parts that can be written with ease rather than focusing on what I cannot do. Got stuck? Move around, return to it later. https://t.co/uiGx9cIOwz",205,100DaysOfWriting
2020-11-05T22:37:29Z,m_cadek,"#100DaysOfWriting (Day 57) Long puase where I had managed to write a report and resubmitted an article. It does not move my thesis so I was silent about it, but today I finally had a longer session of writing in discussion section about the implications of my findings. Moving on! https://t.co/Pkld1cVF5L",280,100DaysOfWriting
2020-10-16T07:00:00Z,m_cadek,"#100DaysOfWriting (Day 56) Long session commited fully to a report (2/3 finished). Not thrilled I write this instead of the main thesis, but it helps me to think about the thesis in new light because I have to keep ""the audience"" in mind all of the time while writing the report. https://t.co/zUxy3VOK2j",279,100DaysOfWriting
2020-10-14T18:41:46Z,m_cadek,"#100DaysOfWriting (Day 55) Today was a short session of working on a report and discussion section. Oscilating between short and long days of work is proving to be effective, that said. I still struggle during the weekends. https://t.co/pencPDIJkS",223,100DaysOfWriting
2020-10-12T22:56:06Z,m_cadek,#100DaysOfWriting (Day 54) Mixed evening of working on various project. This isn't nescessarily bad but it feels a little shallow to me. That's the best I could do with more things on the plate at the moment. I think it's still good to remind myself that.... https://t.co/oLLv4qdEZs,258,100DaysOfWriting
2020-10-09T17:46:24Z,m_cadek,"#100DaysOfWriting (Day 53) Brief writing session. Still efficient. Today I simply focused on getting it done, look at it, or edit it. Didn't pressure to write as I knew I wanted to take it easy.",194,100DaysOfWriting
2020-10-08T23:30:27Z,m_cadek,#100DaysOfWriting (Day 52) Today's session went rather well. I thought about structuring my weekdays a little differently (to days where I just sit here endlessly and days where I attempt to have a life too). Turns out that having a life tomorrow is motivating 🤣 https://t.co/tgWLdXtmQm,262,100DaysOfWriting
2020-10-07T23:02:18Z,m_cadek,"#100DaysOfWriting (Day 51) This is becoming a new challenge which I could call ""writing after work"" before midnight. It sometimes is dangerously close to that stream of words like in The Midnight Gospel (Couldn't decide if the dialogues were still making sense to me). https://t.co/9ylnmx52SV",268,100DaysOfWriting
2020-10-06T23:04:59Z,m_cadek,"#100DaysOfWriting (Day 50) Ouch! No writing today. Nada. Too many things on my list. My new job, baking bread, doing yoga, and then I've spent a fair amount of time trying to find a french news channel with french subtitles that actually work (immensely frustrating, no results).",279,100DaysOfWriting
